ref_id,ol_x,ol_y_new,dl_x,dl_y_new,pairwise_distance,matchup_manual
2024WestPractice1_1,0.4407450356666658,-4.321383666999999,-0.514780680333331,-6.5313916524333315,2.4077301945227174,EDGE
2024WestPractice1_2,0.32481892900000275,-4.267901611333336,-0.5512186686666638,-6.3758511861,2.2827381107530806,EDGE
2024WestPractice1_3,0.11099243166665929,-2.4835006714000016,-1.260508219333346,-3.275871785466663,1.5839400298308897,INTERIOR
2024WestPractice1_4,0.10166422533332309,-2.4421646118000027,-0.9887898763333283,-2.9067413329999994,1.1852939203938249,INTERIOR
2024WestPractice1_5,-0.33286539699999196,-0.6088745117333332,-1.6401570636666634,-0.19904123943333474,1.3700273036769188,INTERIOR
2024WestPractice1_6,-0.05056762700000661,-0.23315226236666575,-1.5011901856666583,0.40957082113333243,1.5866312645905882,INTERIOR
2024WestPractice1_7,0.43603515633333245,1.5870966593333335,-0.7624308266666731,2.7415257771666646,1.664039452810423,INTERIOR
2024WestPractice1_8,0.22586059566667416,1.8591634114666675,-0.5460510253333268,1.8539906819666676,0.7719289525372975,INTERIOR
2024WestPractice1_9,0.9509684243333254,3.1322550455666693,-1.2993164063333325,7.047940063333332,4.516234158841941,EDGE
2024WestPractice1_10,1.0201924643333342,3.4959253946999986,-1.1372070313333325,7.222477722333334,4.305991736463532,EDGE
2024WestPractice1_11,0.588582356666663,-3.296583048499997,-1.54169718433333,-6.0270619710333335,3.4631786077535693,EDGE
2024WestPractice1_12,0.45221964533332937,-3.613709004733334,-1.0995890300000042,-6.032443237299997,2.8737406724737085,EDGE
2024WestPractice1_13,0.5208740233333202,-3.228099060066665,-0.9330444336666659,-6.477394612633333,3.5597472477037955,EDGE
2024WestPractice1_16,-0.016794840333332672,-0.2158691406333304,-0.97392781566667,0.0943369547666677,1.0061467855605162,INTERIOR
2024WestPractice1_17,0.13849894199999824,-0.11561635336666853,-1.292694091666661,0.5097981770666706,1.561876062462425,INTERIOR
2024WestPractice1_20,0.20091756199998656,3.426248677566665,-1.5000712076666645,5.391481526700002,2.599135038016455,EDGE
2024WestPractice1_21,0.2035725909999968,3.595608520500001,-1.2475789386666634,5.377611287433336,2.298124153176227,EDGE
2024WestPractice1_22,1.3692525226666703,-3.3984176635666685,0.5000406899999916,-4.9217254638666645,1.7538517224961119,EDGE
2024WestPractice1_23,1.1917215983333307,-3.185964457199997,0.5223083496666732,-5.056163024899998,1.9863929067829413,EDGE
2024WestPractice1_24,0.5368041993333321,-1.7906906127999989,-0.34020996100001355,-2.732053629566664,1.2865916861076168,INTERIOR
2024WestPractice1_25,0.278869628999999,-1.328779093433333,-1.4865722656666662,-2.1801890055333324,1.9600214085224563,INTERIOR
2024WestPractice1_26,0.05863443999999163,0.20900421143333148,-1.084086100333323,1.0217203775999977,1.4022545418176784,INTERIOR
2024WestPractice1_27,0.04496256499999163,0.24201151529999976,-0.9255269369999866,1.1181584676000007,1.307472124183436,INTERIOR
2024WestPractice1_28,0.5298156736666755,2.1234430949000007,-0.8070780436666638,2.8897598266666655,1.5409497541551758,INTERIOR
2024WestPractice1_29,0.526947021333342,1.8077234904000008,-0.8868509929999959,2.7132080077999987,1.6789065002506829,INTERIOR
2024WestPractice1_30,0.9091593423333393,3.5343266805000013,0.2050984699999958,6.728070068333334,3.2704278832103797,EDGE
2024WestPractice1_31,0.6080423989999986,3.3444793701333317,-0.6225382486666717,6.612253316333334,3.4918011532553304,EDGE
